,Customer_name,Highlight,Ratings,Description
52,Criston,Worthy Alexa speaker at the price range I got.,5.0,I got a discount of 1000 for this product during some flash sale and got the product at Rs. 2499. It originally costs 3499. So to buy at this price is a awesome deal. I really appreciate amazon for selling products cheaper than the original cost. These are very friendly and reliable devices that can help you to track any orders or set up an alarm or sing a song on any occasion. Every thing I tried and it works wonder. Definitely a must buy for young people who want to be smart in their day to day activities.
53,Om Parkash Yadav,Kuch sahi hai par bekar hai,1.0,1. Bina wifi k nhi chalega only speaker bajao Or wo bhi plug 🔌 k sath laga kar2. Bhut sare information jo Alexa ko pata he nhi hai3.ek baar off hone par dubara connect karne k liye sara wifi Bluetooth connect karna padta hai4.only ye apke waaj nhi parchanta5.har ek dialogue k baad ye chup ho jata haiKul mila jula kar ye Alexa bekar hai isse sakta or acha google home mini mai 1.5 year use kar raha hu
54,C.L. Verma,size to sound ratio is just excellent,5.0,"The size to sound ratio is just excellent, the emphasis seems to be on voice but the base is absent so this is not for the base head.This is the most responsive voice integration that I have seen, as you say, Alexa, it starts listing. There are a lot of things that you can ask Alexa like adding a product in your Amazon cart, open rain sound, play music, set alarm, etc.The interesting thing is that Alexa also listing commands in Hindi as well. This is only a part of the home automation system. All the smart equipment/products you purchase can be connected with Alexa like a light bulb to control it with voice etc. but for that, you need a router in your home.ConclusionThe speaker does not have a battery but he can be connected via Bluetooth from your phone and PC. Which is a good thing but all of a sudden it stops playing for no reason which is very annoying?I got it in INR 2500, at this price you must buy it, just to experience a smart speaker but in INR 3500 it looks a bit expansive. If you decide to buy this then this going to be the first step to transform your home into a smart home."
55,Amazon Customer,Super product,3.0,"Very nice product, this was my first experience with alexa, overall recognisation and sound quality is good , but it is not pairing with my  VU smart TV.Pros:Sound quality was too goodNo lag or delay in responseCons:-Should work with DC power also with battery backup, always we have to connect with AC power.-Without current you can't use this echo dot- listed very few Android TVs (example VU smart tv is not in the list)-Should enhance on 'Schedule to play any song by scheduled time"
56,Sriram,One star for the Hardware and nothing for the Software!,1.0,"Bad software! Alexa is not smart at all.voice recognition is not accurate most of the times but more than that Alexa interpretation leaves lot to be desired. Alexa is a just NLP and works on plain if else or a switch condition rather than being smart device. No where follows the user pattens, voice patterns and the people to come up with suggestions. Most of the times you get fed up with the results and then switch off the device. Mostly none of the songs I want will be played, I end up using it for casting the music from the phone, which anyways normal Bluetooth speaker will do at a less price.Hardly any useful tricks as they call it!Just works as voice command based device rather than a smart speaker!"
57,Avadh J.,Get hang up suddenly,1.0,"Hi I am using this from the beginning and I have echo 3rd gen ordered from Amazon but nowadays when I uses it, it suddenly gets stop and nothing happens  I have to manually swith off and switch on to resolve the issue, and again it happens please do the needful to help me.."
58,Deepak Agarwal,Somewhat disappointed,3.0,"Excellent service provided by the device.. Only problem is with Eco dot 3rd generation device that it’s only launch an app but never plays a video, especially YouTube.. This feature is a very basic one and should be added with this device which will enhance the product services overall.. Please take it as a consideration. Also it should be connected to atleast 2 Firesticks or 2 TV’s in a single home.. This should be the minimum. I am very much sure, if these two features could be added with this device, it will enhance the overall service of the product and will reach to many other people in India and thus increase the sale of the product.."
59,George,Expensive Smart Speaker,2.0,"Expensive, Smart speaker works only when plugged in. Bluetooth V2.0 is very old dur to this audio is very poor, sound becomes very low. No battery to support the speaker so if no power you cannot use the device. Sometimes while song change you hear a distorted sound. Not worth the purchase as Bluetooth quality in the speaker is bad. You need to shout then only Alexa can hear you - voice sensor is poor. On full volume Alexa will not recognise your command."
60,k2max6,Too much hype,2.0,"This review is especially for those sitting on the fence .I’ve been using Google Nest and minis and wanted to shift to Echo for its Drop in feature basically .(the full intercom) . It worked fine. But overall Alexa was disappointing. Even after having 4 mics the voice recognition was only a tad better than Google. The sound is natural but artificially natural, a little muffled as well.The app is poor. What takes less than a minute to setup on Google Home it takes over 3-4 minutes on alexa app. I have over 40 smart devices in my home and the time it needed merely setting up those devices was a bummer. Echo or Alexa is is just popular because Amazon sells it while Google devices are not marketed that much."
61,Shafin Muhammed,Feeling shame on Amazon service,1.0,"Feeling pitty on amazon. I have ordered for three product on prime day. But I didn't recieved the product. On the next day itself it says (return recieved) and it was the mistake of courier service and amazon. But when I called the customer service, they ensured me that the placed it again with the same price. But still the status on my dashboard wasn't updated. So I called to customer service again, and he too said same. After 4-5 days I called again, and now they are saying that nothing is updated and I have to place the order again(with today's price). Then what's amazon prime for?! If they can't sell their own product in a wise way.. So disappointing.it was a gift for my brother. And it delayed again. I need a clear action from Amazon service with this matter."
62,Sab,Go for Google home instead,1.0,"Better go for Google home..- cannnot make/accept phone calls (only Alexa calls)- cannot place orders on prime now- connected to Samsung smart TV via smart things skill and it can only do basic control like on/off,volume control.-technical customer care is not that good for any support issue.Free Wipro smart light isn't really smart..once power resumes after a power cut you need to switch it off again via app/Alexa.Only worthy use of echo is unlimited music from Amazon music."
63,Ravi,Alexa with lot of restriction,1.0,"It is useless device and waste of money it only work with registered WiFi with amazon not with in coming signal of the Alexa app computer or mobile , no one else in the house can use it if registered WiFi is not available and at the same time we can not register two ,three signals . Alexa becomes use less when there is no internet , and there are lot of restrictions like hand free not available when in battery saver mode etc etc . at many a times it can not understand your voice and there are many app's missing in window computer .if i instruct it to teach Gramer to children it can not do . what a useless device it is , i even wanted to buy Fire TV stick but lots of them in used market ,hence i thought there must be some problem like this in that also hence stopped its purchase .My advice to Amazon is make it user friendly . do not restrict to one WiFi signal ,Take the in coming signal or allow us to register two ,three signal there should not restrict Hand free etc .With RegardsRavishankar"
64,Anand Singh,In love with it,4.0,"My only disappointment is that it does not have battery and when power goes off it dies.Sound quality is very good, good bass but not like woofer.It can be used as Bluetooth speaker. But not sure if Bluetooth earphones works with it. Will update about it later."
65,Vikram,Not happy with Amazon service,2.0,"I was very excited about this purchase and very happy that I got delivered one day advanced and I tried setting up Alexa but ended up unsuccessful for almost 6 hours. Then decided to call Customer service I requested for call back on 7.05pm evening and I call from them on 7.06pm which was amazing and prompt service. The Agent whom I spoke to was Mr. Sami, he was so polite, professional and spoke to for 45 minutes and finally came to know by the agent that the product which I got was reported as stolen or missing product, So that is why I couldn't complete the set up process. I was completely surprised & confused that how come a very big firm like Amazon can deliver a stolen product to their customers and the agent managed to replaceml the product and he gave me end to end service. I was happy with customers service not with Amazon service"
66,abdul h.,I Love you Alexa,5.0,More effecient AI technology. So nice. You won't feel you are alone. Alexa always with you.Add more AI behaviour depends on your usage. Even some times you can argue with her.. she is so funny.Lot of songs in good quality sound..Every day my day starts with her voice as wake-up call and night with her good night..I love you Alexa..
67,kaivalya,Google home is nothing infront of this,5.0,"So i know why you guys are here for.Omg why should i buy amazon echo instead of google home??So good for you here's the answer.I'll not tell you about things you know and everyone's talking about like it's mic and speakers are awsome, it's very localised etc.I'll tell you why you need this if you want this for home.1. This has communication features so people having alexa app or echo device and permission can actually call you on your echo dot.2. This has announcement features so if you are late for dinner you can announce that on your echo device from your phone.(Actually i use this feature to play ghost sounds when little kids are in my room😝)3. This has best features for home automations that google home or any other devices don't have.4. This has best features for timer tasks.5. Scheduling is much more advanced in alexa app.6. If you say turn on light in front of your kitchen echo dot it will turn on only kitchen lights. so you don't have to be specific like turn on kitchen lights like google home.(you need multiple echo devices for this as obvious)So forgot about google home and just buy it."
68,Indian Tech Advice,I Gave 4 out of 5 Star,4.0,"This is the first Echo I have owned. So far I am loving everything that it does from to do lists to news updates and linking my calendar to playing music. It is very convenient and hopefully in the future I will buy more products for it to control like my thermostat and lights. That being said I am wondering why in the world, it being an amazon product, does it not control my amazon fire stick! This is so fustraiting and I hope that amazon will come out with an update soon that will allow the echo to have this option! It seems like it can literally control everything except for the fire stick. This is why I gave it a 4 out of 5 stars."
69,Damien Ray,Muffled Alexa voice,3.0,Speaker is good for news and music to some extent But it is worst when Alexa speaks. She sounds muffled and its difficult to understand especially when fan or ac is on The Equalizer wud not manage Alexa's speech it's only for news music etc. Very inconvenientI have 3 echo devices and homepod but Alexa is supercool as an assistant. Problem is only with echo dot 3rd gen. You can go for better echo models. I wud recommend to test it out first then make a buying decision
70,Hari Om,😤 After 3 months!👇🏻,4.0,"After 3 months here are the things which I found.Works better if you have connection of minimum 20 mbps.I have started to get few bugs or software issue.Alexa listens sometimes by itself and says, 'sorry, I don't know that.'Sometimes songs stops playing in middle by itself.It doesn't recognise voice even after activating it many times.After command it doesn't follow.Disconnects and reconnects network by itself.The sound has decreased, now at volume level 3 I can't hear music properly after 3 meters range. (Have same background noice of fan/Vehicles)Amazon please send a software update which solves these.Thanks!"
71,Naveen Kottamasu,Worst quality packaging materials,1.0,I brought two speakers on a sale. Waited for a few months to install when we move to our new home. And placed them in a cardboard box which contains a lot of cardboard boxes of electronics. Termites are attracted to the amazon echo boxes and made a mess and ate almost all the three echo dot boxes. And most interestingly the remaining boxes are stood firm. I don't know what to do now. Please help me Amazon.
72,jd,Voice recognition/understanding not that good as it's build,4.0,"The Echo Dot 3rd Gen is comparatively good that than it's predecessor. The sound quality is improved, however there are two things that I would like to being to the notice of it's manufacturer or would say the developers rather. The bluetooth connectivity is no good. it's very difficult to connect to any other bluetooth device. Now coming to the main part of the Echo : voice recognition or rather would say it's integration. The Indian voice is a disaster. Half of the time you will have to repeat even for the simpler terms and words. Half disappointed, else it's good."
73,Amazon Customer,This is like fishing by Amazon. Protect yourself,1.0,"Don't buy this product if you are not a Amazon prime member.This will work only prime members.I was happy to hear the voice of Alexa that's it. After that what ever I command to Alexa only reply is, this is for prime members.Expect whether report this device don't deliver anything.Planning to return it tomorrow.Please don't get into traps like this.Today they are telling to be a prime member tomorrow they may say upgrade it by paying some money.Thanks Amazon for trapping me. But I won't let others to get trap."
74,Sanyam jain,I love Alexa skills,4.0,Skills which I like specifically are:1. PanchTantra: 100s of Indian stories for kids2. Mein Tota hare rang ka - Indian Rhyme3. Haathi Raja Kaha Chale - Indian Rhyme 🐘4. Tamil Kids Story & Songs (Kathai Padalgal) India5. Indian Rhymes for Kids - Bhola Bachpan (300+rhyme)6. Wild Animals (Animal Kingdom) - Indian Version7. Namokar Mantra - Jain Prayer Daily8. Lord Krishna Meditation - 1 hour Indian Flute9. Jungle Book Indian Song and Stories - Unofficial10. Indian Kannada Kids - Prasagalu & Kathegalu11. Indian Marathi Kids: Stories and Rhymes12. 1 Hour Bhaktamar strota - Jain Prayer
75,utk787,A big flaw for indian market,1.0,"Using a proprietry power connector for power supply is a big flaw for indian market, where power outage is common, I have my speakers and modem connected with a ups and i am forced to keep alexa at the same place where it doesnt pickup my voice most of the time. A Micro usb port would have been better. I can connect a powerbank to it to make this device portable. In that sense i think google mini is better"
76,Nagaraj M,Bluetooth connection get disconnected automatically,4.0,"Scenario:Connect your iPhone11 with JBL Go and Amazon Echo Dot 3rd generation via blue toothBoth device should be connected. This you can verify it on Bluetooth menuPlay any songs from iTunes and let the Amazon Echo Dot 3rd generation decodes it(audio is playing on Amazon Echo Dot)Listen the audio for sometime (5 minutes approximately)Observation:Audio drops is observed and blue tooth get disconnected automaticallyIn the same scenario, if the audio is playing on JBL Go. The problem is not observedIf only Amazon Echo Dot 3rd generation only connected to the phone everything works fineThe same problem is not observed with iPad Mini and Android phone"
77,ashok,unique product,5.0,Product is good but if a perforated box had been given then it would have been good so that we could have ensured that there is no dust entry and when we operate it because of perforations sound should not be a problem and also the box should have a provision to insert the plug.In this way we could have kept in a place where there is no dust entryMay be for futureregards
78,Kumar,Way to go.,3.0,"Well, it certainly does few things but way to go. I don't understand with all the money and talent Amazon has, why they didn't provide simple skill to under stand simple commands like Enter/Select, Go up, Go down etc. so that we can use it proper remote.Pros:1. Lots of fun. You can roast your friend by setting simple routine which can be activated by customized voice phrase and it will respond with your customized messages.2. You can control your TV, FireStick etc but in a limited way.3. Can ask for time while half asleep...it provides many other simple features and some of them are useful too.Cons:1. Doesn't recognize Select, UP, Down and other navigation command. So cannot replace you fire TV remote.2. Misses the command now and then.3. Difficult to give voice command while there are other sounds around like if you are watching TV of listening to music. That's very frustrating as you cannot pause video if sound coming from TV is high."
79,Amit,Distorted sound,2.0,"Within 3 months of purchasing the sound has begun to distort, even at 5 or 6 level I can here unusual sound. I don't know what to do. My return window is already closed.Secondly, song searching on Gaana app is very poor. I am very fond of Riya's Retro, but Alexa can search only season 1 and moreover it doesn't recognize different episodes of season 1 either. Means if you have already gone through 4-5 episodes of Riya's Retro and want to listen to the next episode, you have to start from episode 1 and then have to skip the episode you have already gone through. It takes hell lot of time to play the next episode after you give the voice command ""Next"".AMAZON SHOULD REPLACE MY ECHO DOT."
80,inspiration,Good speaker for songs only.,4.0,"I'm very happy with my purchase.Initially it feels little bit weird talking to a speaker but you get used to it.Later on talking to Alexa becomes a part of your daily life.✅Things which I like the most are stated below:👍The sound quality is very good.👍You get good depth of sound.👍You can ask any random questions to Alexa.👍It can speak and understand Hindi and English languages.👍It does play all musics from all languages.👍It can tell jokes.👍I also played KBC with Alexa.❌Things which I don't like are:👎Sometimes it is unable to understand what you said.👎Most of time Alexa reply ""Sorry"" because she don't know the answers of our command/questions.👎It is a good music player but poor assistant.👎It plays certain songs again and again and doesn't let you skip.👎You have to set a play list in your phone or device from which you are operating Alexa. Otherwise you will keep on saying ""Alexa play this song. Alexa play that song.""👎If you won't set any playlist it will stop after every song.👎It is not battery powered.👎has to be kept plugged in all the time."
81,Darayus E.,The future is now!,5.0,"Simply great product. Well built and very worth it. The voice recognition is great and works as intended most of the time. It keeps getting better as you use it. The sound really surprised me for its size. It's definately not a premium sound but it's still very bassy and loud, and full volume there is noticible disturbunce. The home automation part is what really makes this worth it though. I have my lights, tv and ac connected (using oakter remote) and ofcourse it's also an alarm, an intercom, a music player, a smart assistant and so much more. Life changing tech this is. I also like that you can command it in hindi and english. The conversations to be had are funny and almost natural. Software updates can/should make it even better. Wish it also had battery back up though, that's its biggest flaw. Soon I'll connect many other electronics in my house to alexa by way of smart switches."
82,R Krishnamoorthy,Good product,5.0,Very useful to eradicate the lonely feeling at all times. Can hear any type of songs what we like.
83,Swapnil Amritkar,My Office is now smarter.,5.0,"Works seamlessly.No issues so far.Never ignored what I said.Controlls AC, Computer Power, Lights, Music, etc. I'm so happy that I've an assistan that doesn't need any salary."
84,Digital Panache,Good device for the price,4.0,Great service at a great price. Thank you Amazon.The voice recognition is pretty good. But for this price you get a speaker quality which is decent. Not really so great. You can take it around with you wherever you go. We like to keep it in the hall which is large but it works power pretty well and covers the whole hall. The volume is loud enough for a big room for sure.
85,Anmol,Review after 2.5 months usage. It's a great purchase for me.,5.0,"I felt the sound quality is great at the price of 2249 during sale. The alexa integration is really good with all the amazing alexa skills available in echo dot. The voice recognition is average coz when the volume is above 5 , alexa couldn't recognize the wake word as the music is loud. So, we would require to shout to let her hear the wake word. I hope this might be resolved in the new (4th) generation as the sound will be focusing in 1 direction rather than 360 degrees, this is what i feel through looking at the design. The response time is good but can be improved in thr next generation yet to be released. Overall, this device is worth the purchase at regular price and during the sale it becomes much more worthy at the price of 2249. There are many hidden features in alexa which are not known by the majority customers like explicit filter, treble base and mid-range regulator, talk slow, talk fast, follow-up mode, sing a song, feedback, Horoscope, movie dialogues, quotes, Translation,  excellent mind and strategy games, kids games and fun games like Shadow game, Akinator, Bulls and Cows, Guess the number, Music mania, Yes Sire etc. and many more fabulous features. Please do a little search on Google about Alexa Skills and who knows you may be able to discover some great hidden features or a new feature. Also, at regular intervals, please do ask your alexa to check for software updates and update the device. It will allow you to enjoy new features with every update. Although, Alexa may not be the greatest invention but it is definitely the sweetest invention and yes it's becoming smarter everyday. Alexa is not comparable to other devices like google home, google nest, apple homepod, etc. as they have different features and different price segments. If you need a wide range of features and skills for daily use and fun, Alexa devices are the perfect choices. Believe me, even with those flaws i mentioned, Alexa will be a cheer. Just go for it."
86,NISHKARSH KRISHNATRAY,MUST BUY PRODUCT,4.0,"If you’re in the market for a cheap wireless speaker that can make calls, control your smart home and play the occasional song or two, the Amazon Echo Dot is easily one of the best smart speakers on the market for you – even better than the Google Home Mini in terms of call quality and music playback."
87,RAJITH R.P,Be sure to buy it,5.0,"The device is quite unique and affordable. It has 4 mics and a really good speaker. You can set alarms, remainders and literally listen to every song. It uses less data while plugged in and about 100mb per hour to play songs and books. That means it literally uses less than 1-3gb per month. First of all Amazon has one of the best Customer Care services and customer friendly policies."
88,Yedu007,Definitely a deal breaker. !!,3.0,"I got the device and wipro smart bulb for 2k on freedom sale which I think is too good deal.Sound quality of the speaker is awesome.Very loud and Good amount bass it produces to fill the room.Software is not that great and voice recognition is very poor.Sometimes it won't responds.Responses are very limited and most of times it doesn't responds at all make me go mad.You can create routines of your like, editable in Alexa app.Aux connectivity helps you to connect with your home theater."
89,Manesh Kallil,Alexa is not efficient to play any malayalam songs,1.0,"Writing again since I am totally unsatisfied with Alexa and it became a useless item for me . Unable to add skills pertaining to choice of music . When i bought Alexa, lot of expectations , but it is not at all impressive on various areas, like when I ask Alexa to play malayalam songs , based on movies,singers,by song name, it is always gives an answer sorry I could not see any song. Same stands with Tamil and to an extend hindi songs as well.Google Home is much smarter and better choice than Aelxa. I strongly suggest if Amazon is not fixing this basic issues and needs of many in India, you may always got a better option 'Google Home'."
90,Rahul,Magical experience and awesome product no doubt,5.0,What a product.. U think of a song and say it.. Alexa actually can play the exact song to the 100% accuracy.Sound quality is awesome with this small sized powerpack. Romantic and slow songs music are just lovable. Although if u like badhash or some hip hop music. U can use an additonal speaker and connect this to it..Mics are quite sensitive and can take orders from other room. Only at high volume u need to yell still not but a concern though.Product build quality excellent.Just an amazing product. U will sure love it.Day 10 and still exploring it. My kid loves to interact with it and ask almost anything and he is excited.
91,Pravesh Bhardwaj,Pack a punch!,4.0,"Superb AI device coupled with great speakers. The first impression might seems like underpowered, but the sound quality & volume packs a punch. Children love it. It is able to understand most of the stuff & respond quickly. Mostly depends on amazon music for the songs. Only point is, if it can have battery back up, would have been truly awesome."
92,Praveen Tyagi,My first Smart Speaker,5.0,My first Smart SpeakerThis was launched on 11th and I got the product by 12th. Plus the reduced price due to sale and a nice smart bulb for just 500 rupees. Overall I think this was super value for money. I haven't used any other smart speaker before but I am very happy with my purchase. Below are some observations :1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.6. Kids love it. An added advantage is that they can take help for homework and talking to alexa also motivates them to talk in English
93,Praveena,A dumb voice assistant in modern times,1.0,"I ordered echo dot hoping it will help me in organizing the daily routines and provide responses to day to day questions especially for kids. Later came to know , most of the features lack the basic intelligence. Alex doesnt understand the context most of the times. you cant ask a question which is linked to a previous query/answer. Many times it tries to find a song only. !!! It acts desgned for a music playbox most time.Getting a song played out that we intent (sung by my fav singer) is almost no way in many cases. Reminders - voice level cannot be set so I end up creating Routines instead. Many times my kid asks queries and it gives foolish answers. There are no good stories we can get to hear unless we pay for another subscription other than  the prime. !!!.  The definition it gives is mostly from wikiepedia which it thinks as source of truth.!!.Many times I felt throwing the device to the floor. In a nutshell , this is a dumb musical player created by Amazon SW team. There is no element of intelligence to it. They just integrated it with routines and we can do those  routines  and play the song (the one , that it decides) . Amazon product team ihasnt improved this device at all in the new generation model."
94,Thilak,Noisy sound after 20 days,1.0,"I bought this on Jan 25 and it was working great, the voice recognition is good, alexa software sucks and sound quality was also good (not for long). Now its 20 days and the speaker started creating buzzy sounds. At the beginning it was low, but as the time passes, the buzzing sound is also increased. Won't recommend it happily to someone."
95,ARUN KUMAR J,"Too worst to bad it's just entertainment play songs for kids, nothing any use",1.0,"Don't waste your money, it's just fun toy like that, if you talk local language then it's just sorry I don't understand and I don't know. It's only in Hindi and English language only and playing songs, there is no local language news also, it's to worst to bad don't buy and don't waste your money"
96,Raj Sutradhar,Good,5.0,"Good product by Amazon,  very intelligent and responding also loudness is good you'll don't need any other speakers if the size of room is medium or small. Sound quality is good bass is ok. Answers thing correctly.Cons is ... sometimes if you're playing song with full sound & you're not close to the device then you have to shout.& You have to say things properly if you want alexa to work properly.Very entertaining device which you can use in different good ways n works... it helps alot.. Go for it if you're getting this in a good price.. otherwise go for 4th gen that one have very good quality speakers."
97,Arpit,Smart but not enough,4.0,"Alexa is good in understanding the Indian accent and covering Hindi-English language , it does the job of voice assistant in terms of managing devices around... I tried controlling my Denon AVR X2500h with Alexa, it does the basic task of paying song, changing volume, but can't change the music mode etc. Similarly I can control my Airtel Internet TV set top box once set-top box is swith on, it can not swith it on or off.So it gets the work done upto certain extend but not completely.The biggest problem which is see with Echo devices is that it can not get the information from web though it is connected to internet always, for every thing to do it needs skill.Ideally it should go to web to find some basic answers instead of saying ""I don't know"".If anyone wants to use it just for playing music then this is one of the best smart speaker available in market in given price."
98,Ram,Voice recognition is not good,3.0,I was writing this review after three weeks of usage. I like sound quality in this echo device and very portable device.I dislike voice recognition is not good and whenever I turn on this device for first time it's not connecting to internet need to reset or start it again which makes us irritating everytime.Alexa has integrated to more things but some of the integration not working well.My rating for this product will be 2.5/5
99,Vißin Thomas,Do not By Any Amazon product,1.0,Its a absolutely cheating for the customer. If we buy any amazon product . Definitely we want to buy amazon prime members also. In this case if any song want to play absolutely need amazon prime membership otherwise we cannot play music through any other app. No Google Apps are not working through amazon alexa. If anybody want to amazon Alexa . Go For GOOGLE HOME. Its have everything. And also free cost for all App
100,Revanth,Amazing sound quality. Amazing features. Slight issue with connectivity,5.0,Pros.1. Sound quality considering its compact design2. Compact. Box is also pretty small hence good to carry even when you travel.3. Great features with lot of additional apps or featured addons4. Does pick up most of the commands very easilyCons1. Intial connectivity took lot of trail. Even though the internet is very fast.Tips.Place it on a wooden table for better bass delivery
101,Akhil P Walia,Great as a Smart Hub and Voice Assistant,5.0,"I did a lot of research and after much deliberation, I finally decided to go with Echo dot Gen 3 over Google Nest. I have to say, I am totally loving this. I have connected it to my Smart TV, Fire TV, Wipro Bulbs, Camera and Smart Sockets. Overall, I am satisfied and the device is working as expected. The only minus point is that the power cable is using old-style pin connector instead of mini USB which is more a universal standard."
102,N.A.,Poor Quality,2.0,"Looks like its quality is deliberately deteriorated to boos echo dot 4th Gen sales.- It has a problem picking up voice commands unless I shout on top of my voice- After it hears alexa, it gets stuck at times and doesn't respond to anything and just keeps blinking the blue light- Even the sound quality sounds artificialNot happy with the speaker"
103,Som Limbu,Great for Kids!,5.0,"My Nephew is in love with it. At first he was surprised how it could answer all his never ending questions. Now he is so attached with it and guess what we are also relieved now, we don't get so bugged by his all sorts of questions now. Some we knew some we had to research. Now he can himself find out his answers and use it as a PDA for himself.Update:I ordered second one for my another nephew's bday. Its great product to introduce technology to the kids."
104,janak,Device is great but I GOT BORED!,4.0,"This is a good device (or should I say a Toy). It works exactly as promised. So, no complaints over there.BUT,This is more like a toy to me. The day when I bought this I was very excited to use it but eventually my interest faded and now it is just lying around the house. I use it some times to listen to music nothing more because kab tak aap use weather ya news puchoge ya bate karoge. I even have a fire TV stick to pair it with and use voice commands but it is not perfect search so I end up using remote. I even have a wipro smart bulb but the story remians the same.YOU WILL EVENTUALLY (1 WEEK IN MY CASE) GET BORED WITH THIS TOY."
105,sada,"When it comes to automation,  this device is going to be helpful for beginners",4.0,This is able to recognize Indian accent really well and the drop in function is helpful for calling the device to talk to the person near the device.  The smart plug can be scheduled and works seamlessly. Cons would be the sound is kindLoud but lacks clarity. The mid frequency needs to be tweeked for optimum clarity and rarely the device doesn't respond when we call Alexa
106,nikhil sachan,A perfect companion,5.0,"I love my echo dot device. There some things, which are really good like whisper command. I am using google mini for last 1 year, it is also really good but some diff are really noteworthy. I am living in hostel so I don’t want to disturb my neighbour student in night when I command my echo ,which is far from my bed to switch off my light. In google I have to shout (not loud but still enough) in echo I can just whisper, and it responds every single time.  The second thing is during switching off or switching on the light ,  google repeat the full name of my light for example it shouts ” switching on Nikhil Syska bulb” during night if you have forgotten to lower the volume suddenly you will call google “ switch of the light “ it will shout back “ switching off Nikhil Syska bulb “ but echo dot just say “ok” which way more convenient.Though when it comes to connecting to laptop automatically the scenario is totally opposite , google connects silently just making a ping sound and echo repeats my lappy name.The other thing is buttons in place of touch . I like buttons in place of touch , which make its tough to pick the google , most of the time either it play/ pause the songs or increase / decrease the volume . If I have voice assistance, why would I need touch 🙄.Alexa integration- because I use amazon shoping and I have kindle , the integration is very much useful for me . My echo reads my book for me . It remind me if my order is coming today.Portability - it’s shape makes it less beautiful but good in portability. It fits in my bag so conveniently  just ignore the dangling cable."
107,vinay,Ok,3.0,"Not happy it's an ok product  as it does not catch things fast, to add on Amazon prime would have worked better if it sinks in with you tube and Google along with added new features ( off old and new).Another annoying thing is it keeps giving the entire description (ex - song or any movie ) which cannot be put off.It's goes not have want I want."
108,Sneha Yadav,Do not ever buy this,1.0,"Dont fall for this. Though it feels good when it plays few songs however in most of the cases it wont recognize your voice. Also, at high volumes, you will keep on shouting Alexa, Alexa and it wont hear you.Just a stupid toy, may be for kids"
109,Pritam,Output via 3.5mm jack is very poor,2.0,"I just don't want to integrate it with anything in my house as it doesn't sound clear via built in speaker and 3.5mm output jack, I brought it for listening music, podcast and GK but due to poor audio clarity it is still not in plugged in state in my home, it is just sitting on table without it's adapter plugged in."
110,Ankit,Bad product,1.0,It worked good for about a month. But after that it started hanging. Now most of the times it doesn't recognise my words and many times it gets hanged while playing music. Wipro bulb camed with it also has the same situation. I keep its switch on but Alexa says that bulb is offline. Total waste of money.
111,NC,Unrelated but necessary to know about AMAZON'S after sale and warranty service. Be warned.,1.0,"This is the second time that I have had to purchase this product, my first echo dot device stopped working and since it was not in warranty I was advised by AMAZON to send it to their CTDI team which handles out of warranty devices. My experience with CTDI has been nothing short of a nightmare. The CTDI team is impossible to contact, they do not respond to emails and their phone service does not work. After having my device for nearly 5 months , I was sent a redicolous high estimate for repair which costs as much as a  new device itself. Not only that , the email coatation is for a fire stick when I sent them an echo dot device. Again no clarification received from them till date even though I have sent a second reminder.My reason to go into such details is that one should never waste ones time with CTDI and what is even more shocking is AMAZON'S attitude once your device is out of warranty.AMAZON arrogantly washes their hands of you and your problem ."
112,Vijay pratap singh,Review after a year usage,4.0,Product was good but it was only for few months? After 1 year as warranty expired it stopped working suddenly and not even showing power sign or a blink. No idea how to get it repaired. Any option for trade-in for this please let me know
113,sai prakash,Vice recognition not working.,2.0,I got the echo dot on offer and excited to use but voice recognition is not working tried to restart and done troubleshooting steps but no use. Placed for replacement lets see what happens.The main feature of the app echo dot is alexa but for me that is not woorking.
114,Pranshul,Read full review please,2.0,"Wnna buy only smart speaker--googleWnna get an amazon atmosphere(prime,amazon music,fire tv etc,)--alexaFor a smart speaker its not that smart, nothing works without activating a skill and skills set (trust me not that great, sukhaa pada h yaar) if you only want a smart speaker 🔊 and you are heavily invested in amazon prime and fire tv stick like gadgets and you have other smart compatible devices and you need the help of amazon services very often only then go for it. Until used with amazon family its good but, if you want only a smart speaker then go for google home mini nest version you will be very happy. Alexa is just a very weak ai in front of google"
115,Robin Raj,Great product with nice feature but repair of this product is not possible in India,4.0,"The product is really good and works fine as per the expectation.Though the proble is once it gets hardware proble as in my case due to fluctuation in power, speaker of my device got damaged. Then I had sent it for repair but in india they can't open the device and repair it hece I was offered to buy refurbished decice at 2000 with just 3 months warranty hence it is like almost paying for a new device with just 3 month of warranty rather than 12 months. Again once 3 month is over for the refurbished device you are on your own if device gets any fault. Hence the vecious cycle of buying refurbished item or new device will continue as there is no option to repair in India.  Hence over dependency on this item will invite this unavoidable vecious circle."
